"","Y","id","Number_of_Funding_Rounds"
"1",1,1,3
"2",1,2,3
"3",1,3,7
"4",1,4,7
"5",1,5,6
"6",1,6,7
"7",1,7,4
"8",1,8,5
"9",1,9,1
"10",1,10,2
"11",1,11,2
"12",1,12,4
"13",1,13,11
"14",1,14,2
"15",1,15,2
"16",1,16,7
"17",1,17,13
"18",1,18,1
"19",1,19,3
"20",1,20,10
"21",1,21,5
"22",1,22,25
"23",1,23,3
"24",1,24,4
"25",1,25,7
"26",1,26,4
"27",1,27,4
"28",1,28,7
"29",1,29,8
"30",1,30,4
"31",1,31,3
"32",1,32,12
"33",1,33,3
"34",1,34,3
"35",1,35,1
"36",1,36,8
"37",1,37,1
"38",1,38,5
"39",1,39,6
"40",1,40,2
"41",1,41,1
"42",1,42,1
"43",1,43,2
"44",1,44,6
"45",1,45,3
"46",1,46,4
"47",1,47,7
"48",1,48,5
"49",1,49,2
"50",1,50,4
"51",1,51,3
"52",1,52,3
"53",1,53,5
"54",1,54,4
"55",1,55,5
"56",1,56,5
"57",1,57,6
"58",1,58,7
"59",1,59,2
"60",1,60,1
"61",1,61,2
"62",1,62,8
"63",1,63,1
"64",1,64,5
"65",1,65,2
"66",1,66,4
"67",1,67,6
"68",1,68,5
"69",1,69,4
"70",1,70,1
"71",1,71,6
"72",1,72,4
"73",1,73,2
"74",1,74,5
"75",1,75,2
"76",1,76,3
"77",1,77,4
"78",1,78,5
"79",1,79,1
"80",1,80,2
"81",1,81,9
"82",1,82,4
"83",1,83,1
"84",1,84,5
"85",1,85,5
"86",1,86,1
"87",1,87,3
"88",1,88,5
"89",1,89,3
"90",1,90,9
"91",1,91,7
"92",1,92,2
"93",1,93,3
"94",1,94,4
"95",1,95,4
"96",1,96,12
"97",1,97,3
"98",1,98,5
"99",1,99,3
"100",1,100,7
"101",1,101,5
"102",1,102,6
"103",1,103,5
"104",1,104,5
"105",1,105,9
"106",1,106,5
"107",1,107,7
"108",1,108,4
"109",1,109,3
"110",1,110,1
"111",1,111,6
"112",1,112,1
"113",1,113,2
"114",1,114,3
"115",1,115,3
"116",1,116,3
"117",1,117,7
"118",1,118,8
"119",1,119,5
"120",1,120,2
"121",1,121,6
"122",1,122,2
"123",1,123,4
"124",1,124,3
"125",1,125,4
"126",1,126,1
"127",1,127,4
"128",1,128,1
"129",1,129,4
"130",1,130,2
"131",1,131,2
"132",1,132,4
"133",1,133,3
"134",1,134,6
"135",1,135,2
"136",1,136,6
"137",1,137,4
"138",1,138,10
"139",1,139,2
"140",1,140,2
"141",1,141,2
"142",1,142,1
"143",1,143,6
"144",1,144,3
"145",1,145,3
"146",1,146,2
"147",1,147,9
"148",1,148,6
"149",1,149,6
"150",1,150,4
"151",1,151,3
"152",1,152,12
"153",1,153,3
"154",1,154,16
"155",1,155,2
"156",1,156,3
"157",1,157,3
"158",1,158,4
"159",1,159,1
"160",1,160,2
"161",1,161,4
"162",1,162,1
"163",1,163,1
"164",1,164,5
"165",1,165,4
"166",1,166,3
"167",1,167,1
"168",1,168,1
"169",1,169,3
"170",1,170,5
"171",1,171,4
"172",1,172,5
"173",1,173,1
"174",1,174,3
"175",1,175,8
"176",1,176,2
"177",1,177,7
"178",1,178,6
"179",1,179,1
"180",1,180,6
"181",1,181,4
"182",1,182,5
"183",1,183,1
"184",1,184,3
"185",1,185,6
"186",1,186,3
"187",1,187,5
"188",1,188,5
"189",1,189,2
"190",1,190,1
