"","x"
"1","Y"
"2","id"
"3","Organization.Name"
"4","CB.Rank..Company."
"5","Headquarters.Location"
"6","Industry.Groups"
"7","Description"
"8","Estimated.Revenue.Range"
"9","Founded.Date"
"10","Number.of.Founders"
"11","Number.of.Employees"
"12","Number.of.Funding.Rounds"
"13","Total.Funding.Amount"
"14","Number.of.Investors"
"15","IPO.Status"
"16","IPO.Date"
"17","Acquisition.Status"
"18","Number.of.Events"
"19","Number.of.Lead.Investors"
"20","Funding.Status"
"21","Last.Funding.Date"
"22","Last.Funding.Amount.Currency..in.USD."
"23","Last.Funding.Type"
"24","IPqwery...Total.Patents"
"25","IPqwery...Total.Trademarks"
