Full Description,Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Number of Funding Rounds,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Company Type,Website,Number of Employees,Number of Founders,Industry Groups,Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,IPO Status,Number of Events
"Quibi is a media company that develops media content designed for smartphones. The company is focused on the core audience, producing inspiring shows for an intuitive, mobile-first platform, and creating a culture where everyone is heard. Its content is made specifically for mobile devices and can be viewed in either horizontal or vertical video, with the user able to shift to one or the other within the same video. It was founded by Jeffrey Katzenberg in 2018 and is headquartered in Los Angeles, California.",Quibi,https://www.crunchbase.com/organization/quibi,"Media and Entertainment, TV, TV Production","Los Angeles, California, United States",Quibi is a media company developing short-form media content designed for smartphones.,2,Private Equity,1750000000,USD,1750000000,5,,Active,2018-01-01,day,,,For Profit,https://quibi.com/,251-500,1,"Media and Entertainment, Video","Alibaba Group, The Walt Disney Company, Warner Bros., Greenspring Associates, 21st Century Fox",1,13,0,,Private,
"Hulu is an online video service that offers a selection of hit shows, clips, movies and more at Hulu.com. Hulu brings together a selection of videos from over 260 content companies, including FOX, NBCUniversal, ABC, Criterion, A&E Networks, Lionsgate, Endemol, MGM, MTV Networks, Comedy Central, National Geographic, Digital Rights Group, Paramount, Sony Pictures, Warner Bros., TED, etc. Hulu also offers a wide array of acclaimed movies and documentaries. Founded in March 2007, Hulu is operated independently by a dedicated management team with offices in Los Angeles, New York, Chicago, Seattle and Beijing.",Hulu,https://www.crunchbase.com/organization/hulu,"Content, Film, TV, Video, Video Streaming","Los Angeles, California, United States","Hulu is an online video service that offers a selection of hit shows, clips, movies, and documentaries through its website. ",3,M&A,683000000,USD,683000000,28,$100M to $500M,Active,2007-03-01,day,2019-05-14,day,For Profit,https://www.hulu.com/,1001-5000,2,"Content and Publishing, Media and Entertainment, Video","The Walt Disney Company, Providence Equity Partners, Time Warner",3,3,1,"Made Acquisitions, Was Acquired",Private,12
"Beyond Meat is planting The Future of Protein. Delicious, 100% plant-based products without the health and other downsides of animal protein.",Beyond Meat,https://www.crunchbase.com/organization/beyond-meat,"Food and Beverage, Food Processing","Manhattan Beach, California, United States",Beyond Meat is planting The Future of Protein.,7,IPO,122000000,USD,122000000,34,$50M to $100M,Active,2009-01-01,year,2019-05-02,day,For Profit,http://www.beyondmeat.com,51-100,1,Food and Beverage,"Bill Gates, Kleiner Perkins, New Crop Capital, Tyson Foods, Obvious Ventures",5,15,,,Public,1
"The finance version of David and Goliath, Dave is the highest-ranked personal financial management app in America and the fastest growing challenger bank.   Dave helps the 4 in 5 Americans who live paycheck to paycheck thrive, not just survive. The company is a financial ecosystem that empowers all Americans with the tools they need to live stable financial lives. Three million users engage with Dave to budget and avoid the $30B+ in overdraft fees that the country’s biggest banks collect each year.",Dave,https://www.crunchbase.com/organization/dave-com,"FinTech, Internet","Los Angeles, California, United States",Dave is an online banking platform and a personal financial management app.,6,Early Stage Venture,183001000,USD,183001000,41,$1M to $10M,Active,2016-10-28,day,,,For Profit,http://www.Dave.com,51-100,3,"Financial Services, Internet Services","Norwest Venture Partners, Mark Cuban, SV Angel, CreditEase Fintech Investment Fund, The Chernin Group",2,16,,,Private,
"Ring is an outdoor home security company that provides homeowners a line of preventative outdoor security doorbells and cameras. It is on a mission to reduce crime in neighborhoods and empower consumers by creating a Ring of Security around homes and communities with its suite of smart home security products: Ring Video Doorbell, Ring Video Doorbell Pro, Ring Stick Up Cam, and the new  Ring Floodlight Cam. With these security devices, Ring has created the neighborhood watch for the digital age and continues to prevent burglaries and keep homes around the world safe. Ring was established in 2012 and is based in Santa Monica, California.",Ring,https://www.crunchbase.com/organization/ring,"Consumer Electronics, Security, Smart Home","Santa Monica, California, United States",Ring is an outdoor home security that provides homeowners a line of preventative  security doorbells and cameras.,7,M&A,209200000,USD,209200000,57,,Active,2012-01-01,year,2018-02-27,day,For Profit,https://ring.com/,501-1000,1,"Consumer Electronics, Hardware, Privacy and Security, Real Estate","Kleiner Perkins, True Ventures, Felicis Ventures, Virgin Group, First Round Capital",8,22,1,"Made Acquisitions, Was Acquired",Private,7
"Scopely is a global interactive entertainment and mobile games company that collaborates with game developers and global brand to bring a distribution and monetization technology to free-to-play games, allowing users to have enhanced gaming experience through their mobile phone. Scopely was founded in 2011 and is based in Culver City, California.",Scopely,https://www.crunchbase.com/organization/scopely,"Developer Platform, Digital Entertainment, Mobile, Mobile Apps, Online Games, Video Games","Culver City, California, United States",Scopely is an interactive entertainment and mobile games company.,11,Late Stage Venture,658700000,USD,658700000,62,$100M to $500M,Active,2011-01-01,year,,,For Profit,http://www.scopely.com,501-1000,4,"Apps, Gaming, Media and Entertainment, Mobile, Software","Techstars, BlackRock, Science, Techstars Ventures, Lerer Hippeau",9,64,2,Made Acquisitions,Private,
"Riot Games is a global company that develops online games. The company was founded by a couple of entrepreneurial gamers who believe player-focused game development can result in better quality games. In 2009, Riot Games released its debut title, League of Legends, a game played by over 67 million users every month.  Riot Games was placed third on the Great Place to Work’s 2013 Best Medium Workplaces list and ranked fourth place in the ""25 Best Companies to Work for in Technology"" list, an accolade based on Glassdoor reviews of Riot by Rioters.  Riot Games was founded by Marc Merrill and Brandon Beck in March 2007 and is headquartered in Culver City, California.",Riot Games,https://www.crunchbase.com/organization/riot-games,"Computer, Developer Platform, PC Games, Video Games","Los Angeles, California, United States",Riot Games is a global company that develops online games.,5,M&A,21000000,USD,21000000,90,$10B+,Active,2006-01-01,year,2011-02-01,month,For Profit,http://www.riotgames.com,1001-5000,2,"Consumer Electronics, Gaming, Hardware, Software","Tencent Holdings, HAX, FirstMark, Benchmark",3,4,1,"Made Acquisitions, Was Acquired",Private,1
"Tinder anonymously finds people nearby that like each other and connects them if they are both interested. Every time you open Tinder, you’ll immediately see new, interesting people nearby, along with friends or interests you have in common. Swipe right to like or left to pass on each person’s profile. All swipes are anonymous. No one will ever know you’ve passed on their profile. Only once you’ve both swiped right on each other will your newfound match be revealed.",Tinder,https://www.crunchbase.com/organization/tinder,"Dating, Mobile, Search Engine, Social Media","West Hollywood, California, United States",Tinder anonymously finds people nearby that like each other and connects them if they are both interested.,2,,50000000,USD,50000000,100,$500M to $1B,Active,2012-09-01,day,,,For Profit,http://www.tinder.com,51-100,5,"Community and Lifestyle, Internet Services, Media and Entertainment, Mobile","IAC, Benchmark",2,2,3,Made Acquisitions,Private,6
"Rocket Lab delivers a range of complete rocket systems and technologies for fast and low-cost payload deployment.  Rocket Lab's orbital launch vehicle Electron is poised to change the space industry by providing dedicated low-cost, high-frequency launches for the emerging small satellite market.",Rocket Lab,https://www.crunchbase.com/organization/rocket-lab,"Aerospace, Electronics, Industrial Manufacturing","Huntington Beach, California, United States",Rocket Lab delivers a range of complete rocket systems and technologies for fast and low-cost payload deployment.,4,Late Stage Venture,215000000,USD,215000000,113,$10M to $50M,Active,2006-01-01,year,,,For Profit,http://www.rocketlabusa.com/,251-500,1,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering","Khosla Ventures, Bessemer Venture Partners, Greenspring Associates, Promus Ventures, Data Collective DCVC",4,10,1,Made Acquisitions,Private,1
"Super League Gaming’s mission is to give gamers an entirely new way to enjoy the games they love. The Santa Monica-based company cut its teeth producing Minecraft events nationwide, an event series that continues to grow. Never content thinking small, Super League Gaming goes big. Its competitions take place in state-of-the-art movie theaters. All the action is played out on big screens and bolstered with thundering sound systems. In partnership with Riot Games, Super League Gaming is now readying City Champs and City Rec League of Legends events which offer players new ways to compete, learn, socialize and have fun playing their favorite games in a local league.",Super League Gaming,https://www.crunchbase.com/organization/super-league,"eSports, Gaming, Video Games","Santa Monica, California, United States",Super League Gaming hosts recreational video game league events in movie theaters.,6,IPO,33990000,USD,33990000,118,Less than $1M,Active,2014-01-01,year,2019-02-26,day,For Profit,https://www.superleague.com/,11-50,1,"Gaming, Sports","SoftBank, Quadrant, aXiomatic, Nickelodeon, Toba Capital",1,9,1,Made Acquisitions,Public,
