"","id","Organization.Name","Organization.Name.URL","Industries","Headquarters.Location","Description","CB.Rank..Company.","Estimated.Revenue.Range","Founded.Date","Founded.Date.Precision","Industry.Groups","Number.of.Founders","Number.of.Employees","Number.of.Funding.Rounds","Total.Funding.Amount","Total.Funding.Amount.Currency","Total.Funding.Amount.Currency..in.USD.","Number.of.Investors","IPO.Status","IPO.Date","Acquisition.Status","Number.of.Events","Number.of.Lead.Investors","Funding.Status","Last.Funding.Date","Last.Funding.Amount","Last.Funding.Amount.Currency","Last.Funding.Amount.Currency..in.USD.","Last.Funding.Type","IPqwery...Total.Patents","IPqwery...Total.Trademarks","Investment.Stage","Y"
"1",1,"Hulu","https://www.crunchbase.com/organization/hulu","Content, Film, TV, Video, Video Streaming","Los Angeles, California, United States","Hulu is an online video service that offers a selection of hit shows, clips, movies, and documentaries through its website. ",26,"$100M to $500M","2007-03-01","day","Content and Publishing, Media and Entertainment, Video","2","1001-5000","3","6.83e+08","USD","6.83e+08","3","Private","NA","Made Acquisitions, Was Acquired","12","3","M&A","2016-08-03","5.83e+08","USD","583000000","Undisclosed","271","24","NA",1
"2",2,"NextVR","https://www.crunchbase.com/organization/nextvr","Broadcasting, Media and Entertainment, Virtual Reality","Newport Beach, California, United States","NextVR is a technology company that captures and delivers live and on-demand virtual reality experiences.",33,"$10M to $50M","2009-01-01","year","Hardware, Media and Entertainment, Software, Video","3","51-100","3","115500000","USD","115500000","11","Private","NA","Was Acquired","3","3","M&A","2016-08-09","8e+07","USD","80000000","Series B","68","8","NA",1
"3",3,"Dave","https://www.crunchbase.com/organization/dave-com","FinTech, Internet","Los Angeles, California, United States","Dave is an online banking platform and a personal financial management app.",35,"$1M to $10M","2016-10-28","day","Financial Services, Internet Services","3","51-100","7","233001006","USD","233001006","16","Private","NA","NA","NA","2","Early Stage Venture","2019-09-30","5e+07","USD","50000000","Series B","0","7","NA",1
"4",4,"Beyond Meat","https://www.crunchbase.com/organization/beyond-meat","Food and Beverage, Food Processing","Manhattan Beach, California, United States","Beyond Meat is planting The Future of Protein.",46,"$50M to $100M","2009-01-01","year","Food and Beverage","1","51-100","7","1.22e+08","USD","1.22e+08","15","Public","2019-05-02","NA","1","5","IPO","2018-10-05","5e+07","USD","50000000","Series H","0","66","NA",1
"5",5,"Super League Gaming","https://www.crunchbase.com/organization/super-league","eSports, Gaming, Video Games","Santa Monica, California, United States","Super League Gaming hosts recreational video game league events in movie theaters.",71,"Less than $1M","2014-01-01","year","Gaming, Sports","1","11-50","6","33990000","USD","33990000","9","Public","2019-02-26","Made Acquisitions","NA","1","IPO","2017-06-29","1.5e+07","USD","15000000","Series C","3","37","NA",1
"6",6,"Ring","https://www.crunchbase.com/organization/ring","Consumer Electronics, Security, Smart Home","Santa Monica, California, United States","Ring is an outdoor home security that provides homeowners a line of preventative  security doorbells and cameras.",79,"NA","2012-01-01","year","Consumer Electronics, Hardware, Privacy and Security, Real Estate","1","501-1000","7","209200000","USD","209200000","22","Private","NA","Made Acquisitions, Was Acquired","7","8","M&A","2017-01-25","1.09e+08","USD","109000000","Series D","92","0","NA",1
"7",7,"Factual","https://www.crunchbase.com/organization/factual","Analytics, Digital Marketing, Geospatial, Internet, Location Based Services, Mobile, Mobile Advertising","Los Angeles, California, United States","The location data company the world’s most valuable brands and tech companies trust to understand and intelligently grow their businesses.",84,"$10M to $50M","2008-01-01","year","Advertising, Data and Analytics, Internet Services, Mobile, Navigation and Mapping, Sales and Marketing","1","101-250","4","1.04e+08","USD","1.04e+08","23","Private","NA","Was Acquired","9","2","M&A","2018-09-05","4.2e+07","USD","42000000","Venture - Series Unknown","18","15","NA",1
"8",8,"Riot Games","https://www.crunchbase.com/organization/riot-games","Computer, Developer Platform, PC Games, Video Games","Los Angeles, California, United States","Riot Games is a global company that develops online games.",95,"$10B+","2006-01-01","year","Consumer Electronics, Gaming, Hardware, Software","2","1001-5000","5","2.1e+07","USD","2.1e+07","4","Private","NA","Made Acquisitions, Was Acquired","1","3","M&A","2018-12-31","6e+06","USD","6000000","Venture - Series Unknown","12","259","NA",1
"9",9,"J2 Global","https://www.crunchbase.com/organization/j2-global-communications","Cloud Computing, Digital Media, Internet","Los Angeles, California, United States","J2 Global is a Internet information and services company consisting of a portfolio of brands.",104,"$100M to $500M","1995-01-01","year","Internet Services, Media and Entertainment, Software","2","1001-5000","1","6.5e+08","USD","6.5e+08","NA","Public","1999-07-23","Made Acquisitions","NA","NA","IPO","2017-06-28","6.5e+08","USD","650000000","Post-IPO Debt","3","276","NA",1
"10",10,"Quibi","https://www.crunchbase.com/organization/quibi","Media and Entertainment, TV, TV Production","Los Angeles, California, United States","Quibi is a media company developing short-form media content designed for smartphones.",113,"NA","2018-01-01","day","Media and Entertainment, Video","2","251-500","2","1.75e+09","USD","1.75e+09","13","Private","NA","NA","NA","1","Private Equity","2020-03-05","7.5e+08","USD","750000000","Private Equity","0","2","NA",1
"11",11,"Beats Electronics","https://www.crunchbase.com/organization/beats-by-dr-dre","Consumer Electronics, Hardware, Media and Entertainment, Music, Software","Santa Monica, California, United States","Beats Electronics offers premium consumer headphones, earphones and speakers, software technology and streaming music subscription services.",117,"$1B to $10B","2006-01-01","year","Consumer Electronics, Hardware, Media and Entertainment, Music and Audio, Software","2","501-1000","2","8e+08","USD","8e+08","2","Private","NA","Made Acquisitions, Was Acquired","NA","2","M&A","2013-09-27","5e+08","USD","500000000","Private Equity","1","182","NA",1
"12",12,"Rocket Lab","https://www.crunchbase.com/organization/rocket-lab","Aerospace, Electronics, Industrial Manufacturing","Huntington Beach, California, United States","Rocket Lab delivers a range of complete rocket systems and technologies for fast and low-cost payload deployment.",140,"$10M to $50M","2006-01-01","year","Consumer Electronics, Hardware, Manufacturing, Science and Engineering","1","251-500","4","2.15e+08","USD","2.15e+08","10","Private","NA","Made Acquisitions","1","4","Late Stage Venture","2018-11-15","1.4e+08","USD","140000000","Series E","6","14","NA",1
"13",13,"Scopely","https://www.crunchbase.com/organization/scopely","Developer Platform, Digital Entertainment, Mobile, Mobile Apps, Online Games, Video Games","Culver City, California, United States","Scopely is an interactive entertainment and mobile games company.",158,"$100M to $500M","2011-01-01","year","Apps, Gaming, Media and Entertainment, Mobile, Software","4","501-1000","11","658700000","USD","658700000","64","Private","NA","Made Acquisitions","NA","9","Late Stage Venture","2020-03-19","2e+08","USD","200000000","Series D","0","8","NA",1
"14",14,"ZipRecruiter","https://www.crunchbase.com/organization/ziprecruiter","E-Commerce, Employment, Human Resources, Internet, Mobile Apps, Recruiting, SaaS, Software","Santa Monica, California, United States","ZipRecruiter is an online employment marketplace, connecting millions of employers and job seekers through mobile and email services.",160,"$10M to $50M","2010-03-01","day","Apps, Commerce and Shopping, Internet Services, Mobile, Professional Services, Software","4","501-1000","2","2.19e+08","USD","2.19e+08","3","Private","NA","Made Acquisitions","8","1","Early Stage Venture","2018-10-04","1.56e+08","USD","156000000","Series B","0","36","NA",1
"15",15,"Tinder","https://www.crunchbase.com/organization/tinder","Dating, Mobile, Search Engine, Social Media","West Hollywood, California, United States","Tinder anonymously finds people nearby that like each other and connects them if they are both interested.",192,"$500M to $1B","2012-09-01","day","Community and Lifestyle, Internet Services, Media and Entertainment, Mobile","5","51-100","2","5e+07","USD","5e+07","2","Private","NA","Made Acquisitions","6","2","NA","2014-10-28","NA","NA","NA","Venture - Series Unknown","0","5","NA",1
"16",16,"Dollar Shave Club","https://www.crunchbase.com/organization/dollar-shave-club","E-Commerce, Internet, Retail","Santa Monica, California, United States","Dollar Shave Club makes and delivers everything you need to look, feel, and shave like a million bucks.",200,"$50M to $100M","2011-01-01","year","Commerce and Shopping, Internet Services","2","101-250","7","163500000","USD","163500000","27","Private","NA","Was Acquired","2","5","M&A","2015-11-19","90700000","USD","90700000","Series D","13","56","NA",1
"17",17,"SnapChat","https://www.crunchbase.com/organization/snapchat","Apps, Messaging, Mobile, Photography","Venice, California, United States","Snap, formerly Snapchat Inc, is a camera company that develops Snapchat and Spectacles.",272,"$100M to $500M","2011-05-01","day","Apps, Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Mobile, Software","3","1001-5000","13","4898985000","USD","4898985000","34","Public","2017-03-02","Made Acquisitions","31","9","IPO","2018-08-07","2.5e+08","USD","250000000","Post-IPO Equity","563","178","NA",1
"18",18,"Grindr","https://www.crunchbase.com/organization/grindr","Apps, iOS, LGBT, Location Based Services, Social Media, Social Network","West Hollywood, California, United States","Grindr is a location-based social application for gay, bi, trans, queer people and other members of the LGBT community.",276,"$10M to $50M","2008-02-03","day","Apps, Data and Analytics, Internet Services, Media and Entertainment, Mobile, Navigation and Mapping, Platforms, Software","2","51-100","1","9.3e+07","USD","9.3e+07","NA","Private","NA","Was Acquired","4","NA","M&A","2016-01-11","9.3e+07","USD","93000000","Private Equity","5","13","NA",1
"19",19,"Alteryx","https://www.crunchbase.com/organization/alteryx","Analytics, Artificial Intelligence, Business Intelligence, Data Integration, Machine Learning, Predictive Analytics","Irvine, California, United States","Alteryx is a leading provider of an end to end data science & analytics platform for the enterprise",300,"$100M to $500M","2011-03-01","month","Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software","3","501-1000","3","1.63e+08","USD","1.63e+08","5","Public","2017-03-24","Made Acquisitions","20","4","IPO","2015-10-28","8.5e+07","USD","85000000","Series C","8","44","NA",1
"20",20,"Fair","https://www.crunchbase.com/organization/fair","Automotive, Internet, Leasing","Santa Monica, California, United States","Fair is a car leasing company that is revolutionizing the car-as-a-service concept.",372,"$100M to $500M","2016-01-01","year","Financial Services, Internet Services, Transportation","6","101-250","10","2.101e+09","USD","2.101e+09","35","Private","NA","Made Acquisitions","NA","9","Early Stage Venture","2019-09-17","5e+08","USD","500000000","Debt Financing","9","11","NA",1
"21",21,"MedMen","https://www.crunchbase.com/organization/medmen","Asset Management, Cannabis, Finance, Service Industry","Culver City, California, United States","MedMen owns and operates licensed cannabis facilities in cultivation, manufacturing, and retail.",386,"$10M to $50M","2010-01-01","year","Community and Lifestyle, Financial Services, Food and Beverage, Health Care","3","501-1000","5","3.63e+08","USD","3.63e+08","4","Public","2018-05-29","NA","1","4","IPO","2019-12-11","2.7e+07","USD","27000000","Post-IPO Equity","2","13","NA",1
"22",22,"SpaceX","https://www.crunchbase.com/organization/space-exploration-technologies","Aerospace, Space Travel, Transportation","Hawthorne, California, United States","SpaceX is an aviation and aerospace company that designs, manufactures, and launches advanced rockets and spacecraft.",398,"$1B to $10B","2002-06-01","month","Science and Engineering, Transportation","1","1001-5000","25","3198403166","USD","3198403166","27","Private","NA","NA","9","8","NA","2019-10-03","3e+06","USD","3000000","Grant","9","23","NA",1
"23",23,"Restaurant365","https://www.crunchbase.com/organization/restaurant365","Accounting, Productivity Tools, Restaurants, Software","Irvine, California, United States","Restaurant365 is a smart restaurant management software that combines restaurant modules with an integrated accounting system.",436,"$10M to $50M","2011-01-01","year","Financial Services, Food and Beverage, Professional Services, Software","3","251-500","3","127500000","USD","127500000","3","Private","NA","NA","NA","2","Late Stage Venture","2019-06-27","8.8e+07","USD","88000000","Series C","NA","NA","NA",1
"24",24,"BigRentz","https://www.crunchbase.com/organization/bigrentz-com","Construction, Internet, Rental","Irvine, California, United States","BigRentz is the largest online construction equipment rental marketplace with over 2,500 partners with 8,500 rental yards",489,"$10M to $50M","2012-03-01","day","Commerce and Shopping, Internet Services, Real Estate","3","51-100","4","30250000","USD","30250000","3","Private","NA","NA","NA","2","Early Stage Venture","2020-04-01","1.5e+07","USD","15000000","Series B","NA","NA","NA",1
"25",25,"Clutter","https://www.crunchbase.com/organization/clutter","Consumer, Self-Storage, Service Industry","Culver City, California, United States","Clutter is a tech-enabled storage company that lets clients store extra stuff without actually leaving their house.",495,"$10M to $50M","2013-01-01","year","Real Estate","3","251-500","7","296300000","USD","296300000","23","Private","NA","Made Acquisitions","1","6","Late Stage Venture","2019-02-20","2e+08","USD","200000000","Series D","0","9","NA",1
"26",26,"VideoAmp","https://www.crunchbase.com/organization/videoamp","Advertising, Advertising Platforms, Digital Media, Software","Santa Monica, California, United States","VideoAmp is a software and data solutions company that focuses on optimizing cross-platform advertising.",532,"$1M to $10M","2014-06-01","day","Advertising, Media and Entertainment, Sales and Marketing, Software","2","101-250","4","106600000","USD","106600000","16","Private","NA","Made Acquisitions","2","3","Late Stage Venture","2019-05-01","7e+07","USD","70000000","Series C","0","4","NA",1
"27",27,"Cornerstone OnDemand","https://www.crunchbase.com/organization/cornerstone-ondemand","E-Learning, Enterprise Software, SaaS, Social Network, Software","Santa Monica, California, United States","Cornerstone OnDemand provides cloud-based talent management software solutions.",534,"$500M to $1B","1999-11-01","day","Education, Internet Services, Software","4","1001-5000","4","344700000","USD","344700000","6","Public","2011-03-17","Made Acquisitions","15","3","IPO","2017-11-08","3e+08","USD","300000000","Post-IPO Equity","2","32","NA",1
"28",28,"The Honest Company","https://www.crunchbase.com/organization/the-honest-company","Consumer Goods, Dietary Supplements, E-Commerce, Lifestyle","Santa Monica, California, United States","The Honest Company creates eco-friendly, convenient, and affordable products for babies and homes.",540,"$100M to $500M","2011-01-01","year","Commerce and Shopping, Community and Lifestyle, Consumer Goods, Food and Beverage, Health Care","4","251-500","7","5.03e+08","USD","5.03e+08","13","Private","NA","NA","2","7","Private Equity","2018-06-07","2e+08","USD","200000000","Private Equity","6","145","NA",1
"29",29,"Zwift","https://www.crunchbase.com/organization/zwift","Content, Cycling, Fitness, Internet, Video Games","Long Beach, California, United States","Zwift develops a massive, multiplayer video game technology that caters to the cycling, running, and fitness communities.",565,"$10M to $50M","2014-01-01","year","Gaming, Internet Services, Media and Entertainment, Sports","4","101-250","8","164500000","USD","164500000","10","Private","NA","NA","NA","3","Early Stage Venture","2019-04-10","NA","NA","NA","Secondary Market","2","29","NA",1
"30",30,"Relativity Space","https://www.crunchbase.com/organization/relativity-space","3D Technology, Aerospace, Manufacturing, Space Travel","Inglewood, California, United States","Relativity is a company that is automating aerospace manufacturing through robotics, software, and proprietary metal 3D printing technology.",575,"$1M to $10M","2016-01-01","year","Hardware, Manufacturing, Science and Engineering, Software, Transportation","2","101-250","4","185720000","USD","185720000","20","Private","NA","NA","1","6","Late Stage Venture","2019-10-01","1.4e+08","USD","140000000","Series C","2","9","NA",1
"31",31,"Cloud Imperium","https://www.crunchbase.com/organization/cloud-imperium-games","Computer, Crowdfunding, Gaming, MMO Games, Online Games, PC Games, Video Games","West Hollywood, California, United States","Cloud Imperium aims to pave new ground in game development by sharing the process with the players.",577,"NA","2012-01-01","year","Consumer Electronics, Financial Services, Gaming, Hardware","3","501-1000","3","180916000","USD","180916000","5","Private","NA","NA","NA","2","NA","2020-03-27","17250000","USD","17250000","Venture - Series Unknown","0","16","NA",1
"32",32,"Acorns","https://www.crunchbase.com/organization/acorns-grow","Apps, Finance, Financial Services, FinTech, Mobile, Wealth Management","Irvine, California, United States","Acorns is a finance company that allows individuals to round up purchases and automatically invest the change.",578,"$10M to $50M","2012-02-29","day","Apps, Financial Services, Mobile, Software","4","251-500","12","206960000","USD","206960000","28","Private","NA","Made Acquisitions","1","9","NA","2019-12-01","NA","NA","NA","Venture - Series Unknown","11","38","NA",1
"33",33,"CreatorIQ","https://www.crunchbase.com/organization/creatoriq","Advertising Platforms, Brand Marketing, SaaS, Social Media, Social Media Marketing","Culver City, California, United States","CreatorIQ's Enterprise Creator Cloud is the system of record for global companies to manage & optimize influencer-driven campaigns at scale.",605,"$10M to $50M","2014-01-01","year","Advertising, Internet Services, Media and Entertainment, Sales and Marketing, Software","1","101-250","3","15500000","USD","15500000","5","Private","NA","NA","NA","1","Early Stage Venture","2019-06-12","1.2e+07","USD","12000000","Series B","0","3","NA",1
