Y,id,Organization.Name,Industries,Headquarters.Location,Description,CB.Rank..Company.,Estimated.Revenue.Range,Founded.Date,Founded.Date.Precision,Industry.Groups,Number.of.Founders,Number.of.Employees,Number.of.Funding.Rounds,Total.Funding.Amount,Number.of.Investors,IPO.Status,IPO.Date,Acquisition.Status,Number.of.Events,Number.of.Lead.Investors,Funding.Status,Last.Funding.Date,Last.Funding.Amount.Currency..in.USD.,Last.Funding.Type,IPqwery...Total.Patents,IPqwery...Total.Trademarks,Investment.Stage
1,1,Hulu,"Content, Film, TV, Video, Video Streaming","Los Angeles, California, United States","Hulu is an online video service that offers a selection of hit shows, clips, movies, and documentaries through its website. ",26,$100M to $500M,3/1/2007,day,"Content and Publishing, Media and Entertainment, Video",2,1001-5000,3,683000000,3,Private,NA,"Made Acquisitions, Was Acquired",12,3,M&A,8/3/2016,583000000,Undisclosed,271,24,NA
1,2,NextVR,"Broadcasting, Media and Entertainment, Virtual Reality","Newport Beach, California, United States",NextVR is a technology company that captures and delivers live and on-demand virtual reality experiences.,33,$10M to $50M,1/1/2009,year,"Hardware, Media and Entertainment, Software, Video",3,51-100,3,115500000,11,Private,NA,Was Acquired,3,3,M&A,8/9/2016,80000000,Series B,68,8,NA
1,3,Dave,"FinTech, Internet","Los Angeles, California, United States",Dave is an online banking platform and a personal financial management app.,35,$1M to $10M,10/28/2016,day,"Financial Services, Internet Services",3,51-100,7,233001006,16,Private,NA,NA,NA,2,Early Stage Venture,9/30/2019,50000000,Series B,0,7,NA
1,4,Beyond Meat,"Food and Beverage, Food Processing","Manhattan Beach, California, United States",Beyond Meat is planting The Future of Protein.,46,$50M to $100M,1/1/2009,year,Food and Beverage,1,51-100,7,122000000,15,Public,2019-05-02,NA,1,5,IPO,10/5/2018,50000000,Series H,0,66,NA
1,5,Super League Gaming,"eSports, Gaming, Video Games","Santa Monica, California, United States",Super League Gaming hosts recreational video game league events in movie theaters.,71,Less than $1M,1/1/2014,year,"Gaming, Sports",1,11-50,6,33990000,9,Public,2019-02-26,Made Acquisitions,NA,1,IPO,6/29/2017,15000000,Series C,3,37,NA
1,6,Ring,"Consumer Electronics, Security, Smart Home","Santa Monica, California, United States",Ring is an outdoor home security that provides homeowners a line of preventative  security doorbells and cameras.,79,NA,1/1/2012,year,"Consumer Electronics, Hardware, Privacy and Security, Real Estate",1,501-1000,7,209200000,22,Private,NA,"Made Acquisitions, Was Acquired",7,8,M&A,1/25/2017,109000000,Series D,92,0,NA
1,7,Factual,"Analytics, Digital Marketing, Geospatial, Internet, Location Based Services, Mobile, Mobile Advertising","Los Angeles, California, United States",The location data company the world’s most valuable brands and tech companies trust to understand and intelligently grow their businesses.,84,$10M to $50M,1/1/2008,year,"Advertising, Data and Analytics, Internet Services, Mobile, Navigation and Mapping, Sales and Marketing",1,101-250,4,104000000,23,Private,NA,Was Acquired,9,2,M&A,9/5/2018,42000000,Venture - Series Unknown,18,15,NA
1,8,Riot Games,"Computer, Developer Platform, PC Games, Video Games","Los Angeles, California, United States",Riot Games is a global company that develops online games.,95,$10B+,1/1/2006,year,"Consumer Electronics, Gaming, Hardware, Software",2,1001-5000,5,21000000,4,Private,NA,"Made Acquisitions, Was Acquired",1,3,M&A,12/31/2018,6000000,Venture - Series Unknown,12,259,NA
1,9,J2 Global,"Cloud Computing, Digital Media, Internet","Los Angeles, California, United States",J2 Global is a Internet information and services company consisting of a portfolio of brands.,104,$100M to $500M,1/1/1995,year,"Internet Services, Media and Entertainment, Software",2,1001-5000,1,650000000,NA,Public,1999-07-23,Made Acquisitions,NA,NA,IPO,6/28/2017,650000000,Post-IPO Debt,3,276,NA
1,10,Quibi,"Media and Entertainment, TV, TV Production","Los Angeles, California, United States",Quibi is a media company developing short-form media content designed for smartphones.,113,NA,1/1/2018,day,"Media and Entertainment, Video",2,251-500,2,1750000000,13,Private,NA,NA,NA,1,Private Equity,3/5/2020,750000000,Private Equity,0,2,NA
