"","Y","id","Organization.Name","CB.Rank..Company.","Headquarters.Location","Industry.Groups","Description","Estimated.Revenue.Range","Founded.Date","Number.of.Founders","Number.of.Employees","Number.of.Funding.Rounds","Total.Funding.Amount","Number.of.Investors","IPO.Status","IPO.Date","Acquisition.Status","Number.of.Events","Number.of.Lead.Investors","Funding.Status","Last.Funding.Date","Last.Funding.Amount.Currency..in.USD.","Last.Funding.Type","IPqwery...Total.Patents","IPqwery...Total.Trademarks"
"1",1,1,"Hulu",26,"Los Angeles, California, United States","Content and Publishing, Media and Entertainment, Video","Hulu is an online video service that offers a selection of hit shows, clips, movies, and documentaries through its website. ","$100M to $500M","3/1/2007","2","1001-5000",3,6.83e+08,"3","Private","NA","Made Acquisitions, Was Acquired",12,3,"M&A","8/3/2016","583000000","Undisclosed","271","24"
"2",1,2,"NextVR",33,"Newport Beach, California, United States","Hardware, Media and Entertainment, Software, Video","NextVR is a technology company that captures and delivers live and on-demand virtual reality experiences.","$10M to $50M","1/1/2009","3","51-100",3,115500000,"11","Private","NA","Was Acquired",3,3,"M&A","8/9/2016","80000000","Series B","68","8"
"3",1,3,"Dave",35,"Los Angeles, California, United States","Financial Services, Internet Services","Dave is an online banking platform and a personal financial management app.","$1M to $10M","10/28/2016","3","51-100",7,233001006,"16","Private","NA","NA",NA,2,"Early Stage Venture","9/30/2019","50000000","Series B","0","7"
"4",1,4,"Beyond Meat",46,"Manhattan Beach, California, United States","Food and Beverage","Beyond Meat is planting The Future of Protein.","$50M to $100M","1/1/2009","1","51-100",7,1.22e+08,"15","Public","2019-05-02","NA",1,5,"IPO","10/5/2018","50000000","Series H","0","66"
"5",1,5,"Super League Gaming",71,"Santa Monica, California, United States","Gaming, Sports","Super League Gaming hosts recreational video game league events in movie theaters.","Less than $1M","1/1/2014","1","11-50",6,33990000,"9","Public","2019-02-26","Made Acquisitions",NA,1,"IPO","6/29/2017","15000000","Series C","3","37"
"6",1,6,"Ring",79,"Santa Monica, California, United States","Consumer Electronics, Hardware, Privacy and Security, Real Estate","Ring is an outdoor home security that provides homeowners a line of preventative  security doorbells and cameras.","NA","1/1/2012","1","501-1000",7,209200000,"22","Private","NA","Made Acquisitions, Was Acquired",7,8,"M&A","1/25/2017","109000000","Series D","92","0"
"7",1,7,"Factual",84,"Los Angeles, California, United States","Advertising, Data and Analytics, Internet Services, Mobile, Navigation and Mapping, Sales and Marketing","The location data company the world’s most valuable brands and tech companies trust to understand and intelligently grow their businesses.","$10M to $50M","1/1/2008","1","101-250",4,1.04e+08,"23","Private","NA","Was Acquired",9,2,"M&A","9/5/2018","42000000","Venture - Series Unknown","18","15"
"8",1,8,"Riot Games",95,"Los Angeles, California, United States","Consumer Electronics, Gaming, Hardware, Software","Riot Games is a global company that develops online games.","$10B+","1/1/2006","2","1001-5000",5,2.1e+07,"4","Private","NA","Made Acquisitions, Was Acquired",1,3,"M&A","12/31/2018","6000000","Venture - Series Unknown","12","259"
"9",1,9,"J2 Global",104,"Los Angeles, California, United States","Internet Services, Media and Entertainment, Software","J2 Global is a Internet information and services company consisting of a portfolio of brands.","$100M to $500M","1/1/1995","2","1001-5000",1,6.5e+08,"NA","Public","1999-07-23","Made Acquisitions",NA,NA,"IPO","6/28/2017","650000000","Post-IPO Debt","3","276"
"10",1,10,"Quibi",113,"Los Angeles, California, United States","Media and Entertainment, Video","Quibi is a media company developing short-form media content designed for smartphones.","NA","1/1/2018","2","251-500",2,1.75e+09,"13","Private","NA","NA",NA,1,"Private Equity","3/5/2020","750000000","Private Equity","0","2"
"11",1,11,"Beats Electronics",117,"Santa Monica, California, United States","Consumer Electronics, Hardware, Media and Entertainment, Music and Audio, Software","Beats Electronics offers premium consumer headphones, earphones and speakers, software technology and streaming music subscription services.","$1B to $10B","1/1/2006","2","501-1000",2,8e+08,"2","Private","NA","Made Acquisitions, Was Acquired",NA,2,"M&A","9/27/2013","500000000","Private Equity","1","182"
"12",1,12,"Rocket Lab",140,"Huntington Beach, California, United States","Consumer Electronics, Hardware, Manufacturing, Science and Engineering","Rocket Lab delivers a range of complete rocket systems and technologies for fast and low-cost payload deployment.","$10M to $50M","1/1/2006","1","251-500",4,2.15e+08,"10","Private","NA","Made Acquisitions",1,4,"Late Stage Venture","11/15/2018","140000000","Series E","6","14"
"13",1,13,"Scopely",158,"Culver City, California, United States","Apps, Gaming, Media and Entertainment, Mobile, Software","Scopely is an interactive entertainment and mobile games company.","$100M to $500M","1/1/2011","4","501-1000",11,658700000,"64","Private","NA","Made Acquisitions",NA,9,"Late Stage Venture","3/19/2020","200000000","Series D","0","8"
"14",1,14,"ZipRecruiter",160,"Santa Monica, California, United States","Apps, Commerce and Shopping, Internet Services, Mobile, Professional Services, Software","ZipRecruiter is an online employment marketplace, connecting millions of employers and job seekers through mobile and email services.","$10M to $50M","3/1/2010","4","501-1000",2,2.19e+08,"3","Private","NA","Made Acquisitions",8,1,"Early Stage Venture","10/4/2018","156000000","Series B","0","36"
"15",1,15,"Tinder",192,"West Hollywood, California, United States","Community and Lifestyle, Internet Services, Media and Entertainment, Mobile","Tinder anonymously finds people nearby that like each other and connects them if they are both interested.","$500M to $1B","9/1/2012","5","51-100",2,5e+07,"2","Private","NA","Made Acquisitions",6,2,"NA","10/28/2014","NA","Venture - Series Unknown","0","5"
"16",1,16,"Dollar Shave Club",200,"Santa Monica, California, United States","Commerce and Shopping, Internet Services","Dollar Shave Club makes and delivers everything you need to look, feel, and shave like a million bucks.","$50M to $100M","1/1/2011","2","101-250",7,163500000,"27","Private","NA","Was Acquired",2,5,"M&A","11/19/2015","90700000","Series D","13","56"
"17",1,17,"SnapChat",272,"Venice, California, United States","Apps, Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Mobile, Software","Snap, formerly Snapchat Inc, is a camera company that develops Snapchat and Spectacles.","$100M to $500M","5/1/2011","3","1001-5000",13,4898985000,"34","Public","2017-03-02","Made Acquisitions",31,9,"IPO","8/7/2018","250000000","Post-IPO Equity","563","178"
"18",1,18,"Grindr",276,"West Hollywood, California, United States","Apps, Data and Analytics, Internet Services, Media and Entertainment, Mobile, Navigation and Mapping, Platforms, Software","Grindr is a location-based social application for gay, bi, trans, queer people and other members of the LGBT community.","$10M to $50M","2/3/2008","2","51-100",1,9.3e+07,"NA","Private","NA","Was Acquired",4,NA,"M&A","1/11/2016","93000000","Private Equity","5","13"
"19",1,19,"Alteryx",300,"Irvine, California, United States","Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software","Alteryx is a leading provider of an end to end data science & analytics platform for the enterprise","$100M to $500M","3/1/2011","3","501-1000",3,1.63e+08,"5","Public","2017-03-24","Made Acquisitions",20,4,"IPO","10/28/2015","85000000","Series C","8","44"
