"","Y","id","rev","rev_$100Mto$500M","rev_$10B+","rev_$10Mto$50M","rev_$1Bto$10B","rev_$1Mto$10M","rev_$500Mto$1B","rev_$50Mto$100M","rev_Lessthan$1M","rev_NA"
"1",1,1,"$100Mto$500M",1,0,0,0,0,0,0,0,0
"2",1,2,"$10Mto$50M",0,0,1,0,0,0,0,0,0
"3",1,3,"$1Mto$10M",0,0,0,0,1,0,0,0,0
"4",1,4,"$50Mto$100M",0,0,0,0,0,0,1,0,0
"5",1,5,"Lessthan$1M",0,0,0,0,0,0,0,1,0
"6",1,6,"$100Mto$500M",1,0,0,0,0,0,0,0,0
"7",1,7,"$10Mto$50M",0,0,1,0,0,0,0,0,0
"8",1,8,"$10B+",0,1,0,0,0,0,0,0,0
"9",1,9,"$100Mto$500M",1,0,0,0,0,0,0,0,0
"10",1,10,"$1Bto$10B",0,0,0,1,0,0,0,0,0
"11",1,11,"$1Bto$10B",0,0,0,1,0,0,0,0,0
"12",1,12,"$10Mto$50M",0,0,1,0,0,0,0,0,0
"13",1,13,"$100Mto$500M",1,0,0,0,0,0,0,0,0
"14",1,14,"$10Mto$50M",0,0,1,0,0,0,0,0,0
"15",1,15,"$500Mto$1B",0,0,0,0,0,1,0,0,0
"16",1,16,"$50Mto$100M",0,0,0,0,0,0,1,0,0
"17",1,17,"$100Mto$500M",1,0,0,0,0,0,0,0,0
"18",1,18,"$10Mto$50M",0,0,1,0,0,0,0,0,0
"19",1,19,"$100Mto$500M",1,0,0,0,0,0,0,0,0
"20",1,20,"$100Mto$500M",1,0,0,0,0,0,0,0,0
"21",1,21,"$10Mto$50M",0,0,1,0,0,0,0,0,0
"22",1,22,"$1Bto$10B",0,0,0,1,0,0,0,0,0
"23",1,23,"$10Mto$50M",0,0,1,0,0,0,0,0,0
"24",1,24,"$10Mto$50M",0,0,1,0,0,0,0,0,0
"25",1,25,"$10Mto$50M",0,0,1,0,0,0,0,0,0
