"","Y","id","noe","noe_1-10","noe_10001+","noe_1001-5000","noe_101-250","noe_11-50","noe_251-500","noe_5001-10000","noe_501-1000","noe_51-100","noe_NA"
"1",1,1,"1001-5000",0,0,1,0,0,0,0,0,0,0
"2",1,2,"51-100",0,0,0,0,0,0,0,0,1,0
"3",1,3,"51-100",0,0,0,0,0,0,0,0,1,0
"4",1,4,"51-100",0,0,0,0,0,0,0,0,1,0
"5",1,5,"11-50",0,0,0,0,1,0,0,0,0,0
"6",1,6,"501-1000",0,0,0,0,0,0,0,1,0,0
"7",1,7,"101-250",0,0,0,1,0,0,0,0,0,0
"8",1,8,"1001-5000",0,0,1,0,0,0,0,0,0,0
"9",1,9,"1001-5000",0,0,1,0,0,0,0,0,0,0
"10",1,10,"251-500",0,0,0,0,0,1,0,0,0,0
"11",1,11,"501-1000",0,0,0,0,0,0,0,1,0,0
"12",1,12,"251-500",0,0,0,0,0,1,0,0,0,0
"13",1,13,"501-1000",0,0,0,0,0,0,0,1,0,0
"14",1,14,"501-1000",0,0,0,0,0,0,0,1,0,0
"15",1,15,"51-100",0,0,0,0,0,0,0,0,1,0
"16",1,16,"101-250",0,0,0,1,0,0,0,0,0,0
"17",1,17,"1001-5000",0,0,1,0,0,0,0,0,0,0
"18",1,18,"51-100",0,0,0,0,0,0,0,0,1,0
"19",1,19,"501-1000",0,0,0,0,0,0,0,1,0,0
"20",1,20,"101-250",0,0,0,1,0,0,0,0,0,0
"21",1,21,"501-1000",0,0,0,0,0,0,0,1,0,0
"22",1,22,"1001-5000",0,0,1,0,0,0,0,0,0,0
"23",1,23,"251-500",0,0,0,0,0,1,0,0,0,0
"24",1,24,"51-100",0,0,0,0,0,0,0,0,1,0
"25",1,25,"251-500",0,0,0,0,0,1,0,0,0,0
"26",1,26,"101-250",0,0,0,1,0,0,0,0,0,0
"27",1,27,"1001-5000",0,0,1,0,0,0,0,0,0,0
"28",1,28,"251-500",0,0,0,0,0,1,0,0,0,0
"29",1,29,"101-250",0,0,0,1,0,0,0,0,0,0
"30",1,30,"101-250",0,0,0,1,0,0,0,0,0,0
"31",1,31,"501-1000",0,0,0,0,0,0,0,1,0,0
"32",1,32,"251-500",0,0,0,0,0,1,0,0,0,0
"33",1,33,"101-250",0,0,0,1,0,0,0,0,0,0
"34",1,34,"501-1000",0,0,0,0,0,0,0,1,0,0
"35",1,35,"251-500",0,0,0,0,0,1,0,0,0,0
"36",1,36,"51-100",0,0,0,0,0,0,0,0,1,0
"37",1,37,"501-1000",0,0,0,0,0,0,0,1,0,0
"38",1,38,"51-100",0,0,0,0,0,0,0,0,1,0
"39",1,39,"51-100",0,0,0,0,0,0,0,0,1,0
"40",1,40,"10001+",0,1,0,0,0,0,0,0,0,0
"41",1,41,"11-50",0,0,0,0,1,0,0,0,0,0
"42",1,42,"1-10",1,0,0,0,0,0,0,0,0,0
"43",1,43,"51-100",0,0,0,0,0,0,0,0,1,0
"44",1,44,"251-500",0,0,0,0,0,1,0,0,0,0
"45",1,45,"1001-5000",0,0,1,0,0,0,0,0,0,0
"46",1,46,"51-100",0,0,0,0,0,0,0,0,1,0
"47",1,47,"501-1000",0,0,0,0,0,0,0,1,0,0
"48",1,48,"101-250",0,0,0,1,0,0,0,0,0,0
"49",1,49,"51-100",0,0,0,0,0,0,0,0,1,0
"50",1,50,"251-500",0,0,0,0,0,1,0,0,0,0
"51",1,51,"11-50",0,0,0,0,1,0,0,0,0,0
"52",1,52,"51-100",0,0,0,0,0,0,0,0,1,0
"53",1,53,"501-1000",0,0,0,0,0,0,0,1,0,0
"54",1,54,"101-250",0,0,0,1,0,0,0,0,0,0
"55",1,55,"11-50",0,0,0,0,1,0,0,0,0,0
"56",1,56,"51-100",0,0,0,0,0,0,0,0,1,0
"57",1,57,"101-250",0,0,0,1,0,0,0,0,0,0
"58",1,58,"101-250",0,0,0,1,0,0,0,0,0,0
"59",1,59,"51-100",0,0,0,0,0,0,0,0,1,0
"60",1,60,"501-1000",0,0,0,0,0,0,0,1,0,0
"61",1,61,"11-50",0,0,0,0,1,0,0,0,0,0
"62",1,62,"11-50",0,0,0,0,1,0,0,0,0,0
"63",1,63,"501-1000",0,0,0,0,0,0,0,1,0,0
"64",1,64,"51-100",0,0,0,0,0,0,0,0,1,0
"65",1,65,"101-250",0,0,0,1,0,0,0,0,0,0
"66",1,66,"251-500",0,0,0,0,0,1,0,0,0,0
"67",1,67,"251-500",0,0,0,0,0,1,0,0,0,0
"68",1,68,"501-1000",0,0,0,0,0,0,0,1,0,0
"69",1,69,"101-250",0,0,0,1,0,0,0,0,0,0
"70",1,70,"NA",0,0,0,0,0,0,0,0,0,1
"71",1,71,"101-250",0,0,0,1,0,0,0,0,0,0
"72",1,72,"101-250",0,0,0,1,0,0,0,0,0,0
"73",1,73,"1-10",1,0,0,0,0,0,0,0,0,0
"74",1,74,"51-100",0,0,0,0,0,0,0,0,1,0
"75",1,75,"51-100",0,0,0,0,0,0,0,0,1,0
"76",1,76,"101-250",0,0,0,1,0,0,0,0,0,0
"77",1,77,"251-500",0,0,0,0,0,1,0,0,0,0
"78",1,78,"11-50",0,0,0,0,1,0,0,0,0,0
"79",1,79,"1001-5000",0,0,1,0,0,0,0,0,0,0
"80",1,80,"51-100",0,0,0,0,0,0,0,0,1,0
"81",1,81,"501-1000",0,0,0,0,0,0,0,1,0,0
"82",1,82,"11-50",0,0,0,0,1,0,0,0,0,0
"83",1,83,"1001-5000",0,0,1,0,0,0,0,0,0,0
"84",1,84,"11-50",0,0,0,0,1,0,0,0,0,0
"85",1,85,"251-500",0,0,0,0,0,1,0,0,0,0
"86",1,86,"NA",0,0,0,0,0,0,0,0,0,1
"87",1,87,"101-250",0,0,0,1,0,0,0,0,0,0
"88",1,88,"NA",0,0,0,0,0,0,0,0,0,1
"89",1,89,"101-250",0,0,0,1,0,0,0,0,0,0
"90",1,90,"51-100",0,0,0,0,0,0,0,0,1,0
"91",1,91,"101-250",0,0,0,1,0,0,0,0,0,0
"92",1,92,"11-50",0,0,0,0,1,0,0,0,0,0
"93",1,93,"51-100",0,0,0,0,0,0,0,0,1,0
"94",1,94,"51-100",0,0,0,0,0,0,0,0,1,0
"95",1,95,"11-50",0,0,0,0,1,0,0,0,0,0
"96",1,96,"51-100",0,0,0,0,0,0,0,0,1,0
"97",1,97,"51-100",0,0,0,0,0,0,0,0,1,0
"98",1,98,"1001-5000",0,0,1,0,0,0,0,0,0,0
"99",1,99,"11-50",0,0,0,0,1,0,0,0,0,0
"100",1,100,"251-500",0,0,0,0,0,1,0,0,0,0
"101",1,101,"11-50",0,0,0,0,1,0,0,0,0,0
"102",1,102,"501-1000",0,0,0,0,0,0,0,1,0,0
"103",1,103,"101-250",0,0,0,1,0,0,0,0,0,0
"104",1,104,"51-100",0,0,0,0,0,0,0,0,1,0
"105",1,105,"51-100",0,0,0,0,0,0,0,0,1,0
"106",1,106,"101-250",0,0,0,1,0,0,0,0,0,0
"107",1,107,"51-100",0,0,0,0,0,0,0,0,1,0
"108",1,108,"11-50",0,0,0,0,1,0,0,0,0,0
"109",1,109,"11-50",0,0,0,0,1,0,0,0,0,0
"110",1,110,"NA",0,0,0,0,0,0,0,0,0,1
"111",1,111,"501-1000",0,0,0,0,0,0,0,1,0,0
"112",1,112,"51-100",0,0,0,0,0,0,0,0,1,0
"113",1,113,"1-10",1,0,0,0,0,0,0,0,0,0
"114",1,114,"11-50",0,0,0,0,1,0,0,0,0,0
"115",1,115,"11-50",0,0,0,0,1,0,0,0,0,0
"116",1,116,"501-1000",0,0,0,0,0,0,0,1,0,0
"117",1,117,"11-50",0,0,0,0,1,0,0,0,0,0
"118",1,118,"501-1000",0,0,0,0,0,0,0,1,0,0
"119",1,119,"51-100",0,0,0,0,0,0,0,0,1,0
"120",1,120,"11-50",0,0,0,0,1,0,0,0,0,0
"121",1,121,"251-500",0,0,0,0,0,1,0,0,0,0
"122",1,122,"1-10",1,0,0,0,0,0,0,0,0,0
"123",1,123,"11-50",0,0,0,0,1,0,0,0,0,0
"124",1,124,"101-250",0,0,0,1,0,0,0,0,0,0
"125",1,125,"11-50",0,0,0,0,1,0,0,0,0,0
"126",1,126,"51-100",0,0,0,0,0,0,0,0,1,0
"127",1,127,"51-100",0,0,0,0,0,0,0,0,1,0
"128",1,128,"11-50",0,0,0,0,1,0,0,0,0,0
"129",1,129,"101-250",0,0,0,1,0,0,0,0,0,0
"130",1,130,"1-10",1,0,0,0,0,0,0,0,0,0
"131",1,131,"11-50",0,0,0,0,1,0,0,0,0,0
"132",1,132,"51-100",0,0,0,0,0,0,0,0,1,0
"133",1,133,"101-250",0,0,0,1,0,0,0,0,0,0
"134",1,134,"51-100",0,0,0,0,0,0,0,0,1,0
"135",1,135,"NA",0,0,0,0,0,0,0,0,0,1
"136",1,136,"101-250",0,0,0,1,0,0,0,0,0,0
"137",1,137,"51-100",0,0,0,0,0,0,0,0,1,0
"138",1,138,"101-250",0,0,0,1,0,0,0,0,0,0
"139",1,139,"101-250",0,0,0,1,0,0,0,0,0,0
"140",1,140,"1-10",1,0,0,0,0,0,0,0,0,0
"141",1,141,"1001-5000",0,0,1,0,0,0,0,0,0,0
"142",1,142,"1-10",1,0,0,0,0,0,0,0,0,0
"143",1,143,"101-250",0,0,0,1,0,0,0,0,0,0
"144",1,144,"11-50",0,0,0,0,1,0,0,0,0,0
"145",1,145,"10001+",0,1,0,0,0,0,0,0,0,0
"146",1,146,"11-50",0,0,0,0,1,0,0,0,0,0
"147",1,147,"101-250",0,0,0,1,0,0,0,0,0,0
"148",1,148,"101-250",0,0,0,1,0,0,0,0,0,0
"149",1,149,"51-100",0,0,0,0,0,0,0,0,1,0
"150",1,150,"51-100",0,0,0,0,0,0,0,0,1,0
"151",1,151,"11-50",0,0,0,0,1,0,0,0,0,0
"152",1,152,"501-1000",0,0,0,0,0,0,0,1,0,0
"153",1,153,"51-100",0,0,0,0,0,0,0,0,1,0
"154",1,154,"11-50",0,0,0,0,1,0,0,0,0,0
"155",1,155,"101-250",0,0,0,1,0,0,0,0,0,0
"156",1,156,"NA",0,0,0,0,0,0,0,0,0,1
"157",1,157,"11-50",0,0,0,0,1,0,0,0,0,0
"158",1,158,"101-250",0,0,0,1,0,0,0,0,0,0
"159",1,159,"101-250",0,0,0,1,0,0,0,0,0,0
"160",1,160,"101-250",0,0,0,1,0,0,0,0,0,0
"161",1,161,"11-50",0,0,0,0,1,0,0,0,0,0
"162",1,162,"10001+",0,1,0,0,0,0,0,0,0,0
"163",1,163,"5001-10000",0,0,0,0,0,0,1,0,0,0
"164",1,164,"11-50",0,0,0,0,1,0,0,0,0,0
"165",1,165,"11-50",0,0,0,0,1,0,0,0,0,0
"166",1,166,"51-100",0,0,0,0,0,0,0,0,1,0
"167",1,167,"501-1000",0,0,0,0,0,0,0,1,0,0
"168",1,168,"101-250",0,0,0,1,0,0,0,0,0,0
"169",1,169,"NA",0,0,0,0,0,0,0,0,0,1
"170",1,170,"101-250",0,0,0,1,0,0,0,0,0,0
"171",1,171,"501-1000",0,0,0,0,0,0,0,1,0,0
"172",1,172,"251-500",0,0,0,0,0,1,0,0,0,0
"173",1,173,"NA",0,0,0,0,0,0,0,0,0,1
"174",1,174,"501-1000",0,0,0,0,0,0,0,1,0,0
"175",1,175,"101-250",0,0,0,1,0,0,0,0,0,0
"176",1,176,"1-10",1,0,0,0,0,0,0,0,0,0
"177",1,177,"1001-5000",0,0,1,0,0,0,0,0,0,0
"178",1,178,"251-500",0,0,0,0,0,1,0,0,0,0
"179",1,179,"NA",0,0,0,0,0,0,0,0,0,1
"180",1,180,"251-500",0,0,0,0,0,1,0,0,0,0
"181",1,181,"1-10",1,0,0,0,0,0,0,0,0,0
"182",1,182,"101-250",0,0,0,1,0,0,0,0,0,0
"183",1,183,"NA",0,0,0,0,0,0,0,0,0,1
"184",1,184,"11-50",0,0,0,0,1,0,0,0,0,0
"185",1,185,"51-100",0,0,0,0,0,0,0,0,1,0
"186",1,186,"11-50",0,0,0,0,1,0,0,0,0,0
"187",1,187,"101-250",0,0,0,1,0,0,0,0,0,0
