"","id","nof","nof_1","nof_2","nof_3","nof_4","nof_5","nof_6","nof_7","nof_8","nof_9","nof_NA"
"1",1,"2",0,1,0,0,0,0,0,0,0,0
"2",2,"3",0,0,1,0,0,0,0,0,0,0
"3",3,"3",0,0,1,0,0,0,0,0,0,0
"4",4,"1",1,0,0,0,0,0,0,0,0,0
"5",5,"1",1,0,0,0,0,0,0,0,0,0
"6",6,"1",1,0,0,0,0,0,0,0,0,0
"7",7,"1",1,0,0,0,0,0,0,0,0,0
"8",8,"2",0,1,0,0,0,0,0,0,0,0
"9",9,"2",0,1,0,0,0,0,0,0,0,0
"10",10,"2",0,1,0,0,0,0,0,0,0,0
"11",11,"2",0,1,0,0,0,0,0,0,0,0
"12",12,"1",1,0,0,0,0,0,0,0,0,0
"13",13,"4",0,0,0,1,0,0,0,0,0,0
"14",14,"4",0,0,0,1,0,0,0,0,0,0
"15",15,"5",0,0,0,0,1,0,0,0,0,0
"16",16,"2",0,1,0,0,0,0,0,0,0,0
"17",17,"3",0,0,1,0,0,0,0,0,0,0
"18",18,"2",0,1,0,0,0,0,0,0,0,0
"19",19,"3",0,0,1,0,0,0,0,0,0,0
"20",20,"6",0,0,0,0,0,1,0,0,0,0
"21",21,"3",0,0,1,0,0,0,0,0,0,0
"22",22,"1",1,0,0,0,0,0,0,0,0,0
"23",23,"3",0,0,1,0,0,0,0,0,0,0
"24",24,"3",0,0,1,0,0,0,0,0,0,0
"25",25,"3",0,0,1,0,0,0,0,0,0,0
"26",26,"2",0,1,0,0,0,0,0,0,0,0
"27",27,"4",0,0,0,1,0,0,0,0,0,0
"28",28,"4",0,0,0,1,0,0,0,0,0,0
"29",29,"4",0,0,0,1,0,0,0,0,0,0
"30",30,"2",0,1,0,0,0,0,0,0,0,0
"31",31,"3",0,0,1,0,0,0,0,0,0,0
"32",32,"4",0,0,0,1,0,0,0,0,0,0
"33",33,"1",1,0,0,0,0,0,0,0,0,0
"34",34,"1",1,0,0,0,0,0,0,0,0,0
"35",35,"NA",0,0,0,0,0,0,0,0,0,1
"36",36,"4",0,0,0,1,0,0,0,0,0,0
"37",37,"1",1,0,0,0,0,0,0,0,0,0
