"","id","noi","category","category_1to5","category_5to10","category_10to15","category_15to20","category_20+","category_NA"
"1",1,"3","1to5",1,0,0,0,0,0
"2",2,"11","10to15",0,0,1,0,0,0
"3",3,"16","15to20",0,0,0,1,0,0
"4",4,"15","10to15",0,0,1,0,0,0
"5",5,"9","5to10",0,1,0,0,0,0
"6",6,"22","20+",0,0,0,0,1,0
"7",7,"23","20+",0,0,0,0,1,0
"8",8,"4","1to5",1,0,0,0,0,0
"9",9,"NA","NA",0,0,0,0,0,1
"10",10,"13","10to15",0,0,1,0,0,0
"11",11,"2","1to5",1,0,0,0,0,0
"12",12,"10","5to10",0,1,0,0,0,0
"13",13,"64","20+",0,0,0,0,1,0
"14",14,"3","1to5",1,0,0,0,0,0
"15",15,"2","1to5",1,0,0,0,0,0
"16",16,"27","20+",0,0,0,0,1,0
"17",17,"34","20+",0,0,0,0,1,0
"18",18,"NA","NA",0,0,0,0,0,1
"19",19,"5","1to5",1,0,0,0,0,0
"20",20,"35","20+",0,0,0,0,1,0
"21",21,"4","1to5",1,0,0,0,0,0
"22",22,"27","20+",0,0,0,0,1,0
"23",23,"3","1to5",1,0,0,0,0,0
"24",24,"3","1to5",1,0,0,0,0,0
"25",25,"23","20+",0,0,0,0,1,0
"26",26,"16","15to20",0,0,0,1,0,0
"27",27,"6","5to10",0,1,0,0,0,0
"28",28,"13","10to15",0,0,1,0,0,0
"29",29,"10","5to10",0,1,0,0,0,0
"30",30,"20","15to20",0,0,0,1,0,0
"31",31,"5","1to5",1,0,0,0,0,0
"32",32,"28","20+",0,0,0,0,1,0
"33",33,"5","1to5",1,0,0,0,0,0
"34",34,"5","1to5",1,0,0,0,0,0
"35",35,"1","1to5",1,0,0,0,0,0
"36",36,"19","15to20",0,0,0,1,0,0
"37",37,"3","1to5",1,0,0,0,0,0
"38",38,"26","20+",0,0,0,0,1,0
"39",39,"13","10to15",0,0,1,0,0,0
"40",40,"1","1to5",1,0,0,0,0,0
"41",41,"NA","NA",0,0,0,0,0,1
"42",42,"1","1to5",1,0,0,0,0,0
"43",43,"2","1to5",1,0,0,0,0,0
"44",44,"7","5to10",0,1,0,0,0,0
"45",45,"3","1to5",1,0,0,0,0,0
"46",46,"6","5to10",0,1,0,0,0,0
"47",47,"18","15to20",0,0,0,1,0,0
"48",48,"14","10to15",0,0,1,0,0,0
"49",49,"7","5to10",0,1,0,0,0,0
"50",50,"12","10to15",0,0,1,0,0,0
"51",51,"4","1to5",1,0,0,0,0,0
"52",52,"3","1to5",1,0,0,0,0,0
"53",53,"9","5to10",0,1,0,0,0,0
"54",54,"5","1to5",1,0,0,0,0,0
"55",55,"9","5to10",0,1,0,0,0,0
"56",56,"6","5to10",0,1,0,0,0,0
"57",57,"17","15to20",0,0,0,1,0,0
"58",58,"16","15to20",0,0,0,1,0,0
"59",59,"5","1to5",1,0,0,0,0,0
"60",60,"NA","NA",0,0,0,0,0,1
"61",61,"7","5to10",0,1,0,0,0,0
"62",62,"35","20+",0,0,0,0,1,0
"63",63,"NA","NA",0,0,0,0,0,1
"64",64,"17","15to20",0,0,0,1,0,0
"65",65,"8","5to10",0,1,0,0,0,0
"66",66,"7","5to10",0,1,0,0,0,0
"67",67,"7","5to10",0,1,0,0,0,0
"68",68,"13","10to15",0,0,1,0,0,0
