"","id","Lead_Investors","Lead_Investors_1","Lead_Investors_2","Lead_Investors_3","Lead_Investors_4","Lead_Investors_5","Lead_Investors_6","Lead_Investors_7","Lead_Investors_8","Lead_Investors_9","Lead_Investors_NA"
"1",1,"3",0,0,1,0,0,0,0,0,0,0
"2",2,"3",0,0,1,0,0,0,0,0,0,0
"3",3,"2",0,1,0,0,0,0,0,0,0,0
"4",4,"5",0,0,0,0,1,0,0,0,0,0
"5",5,"1",1,0,0,0,0,0,0,0,0,0
"6",6,"8",0,0,0,0,0,0,0,1,0,0
"7",7,"2",0,1,0,0,0,0,0,0,0,0
"8",8,"3",0,0,1,0,0,0,0,0,0,0
"9",9,"NA",0,0,0,0,0,0,0,0,0,1
"10",10,"1",1,0,0,0,0,0,0,0,0,0
"11",11,"2",0,1,0,0,0,0,0,0,0,0
"12",12,"4",0,0,0,1,0,0,0,0,0,0
"13",13,"9",0,0,0,0,0,0,0,0,1,0
"14",14,"1",1,0,0,0,0,0,0,0,0,0
"15",15,"2",0,1,0,0,0,0,0,0,0,0
"16",16,"5",0,0,0,0,1,0,0,0,0,0
"17",17,"9",0,0,0,0,0,0,0,0,1,0
"18",18,"NA",0,0,0,0,0,0,0,0,0,1
"19",19,"4",0,0,0,1,0,0,0,0,0,0
"20",20,"9",0,0,0,0,0,0,0,0,1,0
"21",21,"4",0,0,0,1,0,0,0,0,0,0
"22",22,"8",0,0,0,0,0,0,0,1,0,0
"23",23,"2",0,1,0,0,0,0,0,0,0,0
"24",24,"2",0,1,0,0,0,0,0,0,0,0
"25",25,"6",0,0,0,0,0,1,0,0,0,0
"26",26,"3",0,0,1,0,0,0,0,0,0,0
"27",27,"3",0,0,1,0,0,0,0,0,0,0
"28",28,"7",0,0,0,0,0,0,1,0,0,0
"29",29,"3",0,0,1,0,0,0,0,0,0,0
"30",30,"6",0,0,0,0,0,1,0,0,0,0
"31",31,"2",0,1,0,0,0,0,0,0,0,0
"32",32,"9",0,0,0,0,0,0,0,0,1,0
"33",33,"1",1,0,0,0,0,0,0,0,0,0
"34",34,"2",0,1,0,0,0,0,0,0,0,0
"35",35,"1",1,0,0,0,0,0,0,0,0,0
"36",36,"6",0,0,0,0,0,1,0,0,0,0
"37",37,"NA",0,0,0,0,0,0,0,0,0,1
"38",38,"5",0,0,0,0,1,0,0,0,0,0
"39",39,"5",0,0,0,0,1,0,0,0,0,0
"40",40,"1",1,0,0,0,0,0,0,0,0,0
"41",41,"NA",0,0,0,0,0,0,0,0,0,1
"42",42,"1",1,0,0,0,0,0,0,0,0,0
"43",43,"2",0,1,0,0,0,0,0,0,0,0
"44",44,"5",0,0,0,0,1,0,0,0,0,0
"45",45,"2",0,1,0,0,0,0,0,0,0,0
"46",46,"2",0,1,0,0,0,0,0,0,0,0
"47",47,"5",0,0,0,0,1,0,0,0,0,0
"48",48,"4",0,0,0,1,0,0,0,0,0,0
"49",49,"1",1,0,0,0,0,0,0,0,0,0
"50",50,"2",0,1,0,0,0,0,0,0,0,0
"51",51,"1",1,0,0,0,0,0,0,0,0,0
"52",52,"1",1,0,0,0,0,0,0,0,0,0
"53",53,"4",0,0,0,1,0,0,0,0,0,0
"54",54,"4",0,0,0,1,0,0,0,0,0,0
"55",55,"2",0,1,0,0,0,0,0,0,0,0
"56",56,"NA",0,0,0,0,0,0,0,0,0,1
"57",57,"4",0,0,0,1,0,0,0,0,0,0
"58",58,"5",0,0,0,0,1,0,0,0,0,0
"59",59,"2",0,1,0,0,0,0,0,0,0,0
"60",60,"NA",0,0,0,0,0,0,0,0,0,1
"61",61,"2",0,1,0,0,0,0,0,0,0,0
"62",62,"3",0,0,1,0,0,0,0,0,0,0
"63",63,"NA",0,0,0,0,0,0,0,0,0,1
"64",64,"3",0,0,1,0,0,0,0,0,0,0
"65",65,"2",0,1,0,0,0,0,0,0,0,0
"66",66,"4",0,0,0,1,0,0,0,0,0,0
"67",67,"6",0,0,0,0,0,1,0,0,0,0
"68",68,"5",0,0,0,0,1,0,0,0,0,0
"69",69,"5",0,0,0,0,1,0,0,0,0,0
"70",70,"2",0,1,0,0,0,0,0,0,0,0
"71",71,"4",0,0,0,1,0,0,0,0,0,0
"72",72,"2",0,1,0,0,0,0,0,0,0,0
"73",73,"NA",0,0,0,0,0,0,0,0,0,1
"74",74,"2",0,1,0,0,0,0,0,0,0,0
"75",75,"2",0,1,0,0,0,0,0,0,0,0
"76",76,"1",1,0,0,0,0,0,0,0,0,0
"77",77,"3",0,0,1,0,0,0,0,0,0,0
"78",78,"3",0,0,1,0,0,0,0,0,0,0
"79",79,"2",0,1,0,0,0,0,0,0,0,0
