"","Y","id","tfa_1M","category","category_$500Mto$1B","category_$100Mto$500M","category_$10Mto$50M","category_$1Bto$10B","category_$50Mto$100M","category_$1Mto$10M","category_Lessthan$1M","category_NA"
"1",1,1,683,"$500Mto$1B",1,0,0,0,0,0,0,0
"2",1,2,115.5,"$100Mto$500M",0,1,0,0,0,0,0,0
"3",1,3,233.001006,"$100Mto$500M",0,1,0,0,0,0,0,0
"4",1,4,122,"$100Mto$500M",0,1,0,0,0,0,0,0
"5",1,5,33.99,"$10Mto$50M",0,0,1,0,0,0,0,0
"6",1,6,209.2,"$100Mto$500M",0,1,0,0,0,0,0,0
"7",1,7,104,"$100Mto$500M",0,1,0,0,0,0,0,0
"8",1,8,21,"$10Mto$50M",0,0,1,0,0,0,0,0
"9",1,9,650,"$500Mto$1B",1,0,0,0,0,0,0,0
"10",1,10,1750,"$1Bto$10B",0,0,0,1,0,0,0,0
"11",1,11,800,"$500Mto$1B",1,0,0,0,0,0,0,0
"12",1,12,215,"$100Mto$500M",0,1,0,0,0,0,0,0
"13",1,13,658.7,"$500Mto$1B",1,0,0,0,0,0,0,0
"14",1,14,219,"$100Mto$500M",0,1,0,0,0,0,0,0
"15",1,15,50,"$10Mto$50M",0,0,1,0,0,0,0,0
"16",1,16,163.5,"$100Mto$500M",0,1,0,0,0,0,0,0
"17",1,17,4898.985,"$1Bto$10B",0,0,0,1,0,0,0,0
"18",1,18,93,"$50Mto$100M",0,0,0,0,1,0,0,0
"19",1,19,163,"$100Mto$500M",0,1,0,0,0,0,0,0
"20",1,20,2101,"$1Bto$10B",0,0,0,1,0,0,0,0
"21",1,21,363,"$100Mto$500M",0,1,0,0,0,0,0,0
"22",1,22,3198.403166,"$1Bto$10B",0,0,0,1,0,0,0,0
"23",1,23,127.5,"$100Mto$500M",0,1,0,0,0,0,0,0
"24",1,24,30.25,"$10Mto$50M",0,0,1,0,0,0,0,0
"25",1,25,296.3,"$100Mto$500M",0,1,0,0,0,0,0,0
"26",1,26,106.6,"$100Mto$500M",0,1,0,0,0,0,0,0
"27",1,27,344.7,"$100Mto$500M",0,1,0,0,0,0,0,0
"28",1,28,503,"$500Mto$1B",1,0,0,0,0,0,0,0
"29",1,29,164.5,"$100Mto$500M",0,1,0,0,0,0,0,0
"30",1,30,185.72,"$100Mto$500M",0,1,0,0,0,0,0,0
"31",1,31,180.916,"$100Mto$500M",0,1,0,0,0,0,0,0
"32",1,32,206.96,"$100Mto$500M",0,1,0,0,0,0,0,0
"33",1,33,15.5,"$10Mto$50M",0,0,1,0,0,0,0,0
"34",1,34,375,"$100Mto$500M",0,1,0,0,0,0,0,0
"35",1,35,150,"$100Mto$500M",0,1,0,0,0,0,0,0
"36",1,36,361.45,"$100Mto$500M",0,1,0,0,0,0,0,0
"37",1,37,220,"$100Mto$500M",0,1,0,0,0,0,0,0
"38",1,38,14,"$10Mto$50M",0,0,1,0,0,0,0,0
"39",1,39,72.875,"$50Mto$100M",0,0,0,0,1,0,0,0
"40",1,40,450,"$100Mto$500M",0,1,0,0,0,0,0,0
"41",1,41,41,"$10Mto$50M",0,0,1,0,0,0,0,0
"42",1,42,400,"$100Mto$500M",0,1,0,0,0,0,0,0
"43",1,43,64.25,"$50Mto$100M",0,0,0,0,1,0,0,0
"44",1,44,58.825,"$50Mto$100M",0,0,0,0,1,0,0,0
"45",1,45,4.95,"$1Mto$10M",0,0,0,0,0,1,0,0
"46",1,46,15.52,"$10Mto$50M",0,0,1,0,0,0,0,0
"47",1,47,257.5,"$100Mto$500M",0,1,0,0,0,0,0,0
"48",1,48,150.35,"$100Mto$500M",0,1,0,0,0,0,0,0
"49",1,49,0.8,"Lessthan$1M",0,0,0,0,0,0,1,0
"50",1,50,31.8,"$10Mto$50M",0,0,1,0,0,0,0,0
"51",1,51,1.12,"$1Mto$10M",0,0,0,0,0,1,0,0
"52",1,52,20.595,"$10Mto$50M",0,0,1,0,0,0,0,0
"53",1,53,325.955,"$100Mto$500M",0,1,0,0,0,0,0,0
"54",1,54,92,"$50Mto$100M",0,0,0,0,1,0,0,0
"55",1,55,72.42,"$50Mto$100M",0,0,0,0,1,0,0,0
"56",1,56,110.5,"$100Mto$500M",0,1,0,0,0,0,0,0
"57",1,57,51.8,"$50Mto$100M",0,0,0,0,1,0,0,0
"58",1,58,107.5,"$100Mto$500M",0,1,0,0,0,0,0,0
"59",1,59,11,"$10Mto$50M",0,0,1,0,0,0,0,0
"60",1,60,200,"$100Mto$500M",0,1,0,0,0,0,0,0
"61",1,61,16,"$10Mto$50M",0,0,1,0,0,0,0,0
"62",1,62,7.65,"$1Mto$10M",0,0,0,0,0,1,0,0
"63",1,63,8.5,"$1Mto$10M",0,0,0,0,0,1,0,0
"64",1,64,61,"$50Mto$100M",0,0,0,0,1,0,0,0
"65",1,65,37,"$10Mto$50M",0,0,1,0,0,0,0,0
"66",1,66,302,"$100Mto$500M",0,1,0,0,0,0,0,0
"67",1,67,141.561341,"$100Mto$500M",0,1,0,0,0,0,0,0
"68",1,68,297,"$100Mto$500M",0,1,0,0,0,0,0,0
"69",1,69,61.7,"$50Mto$100M",0,0,0,0,1,0,0,0
"70",1,70,70,"$50Mto$100M",0,0,0,0,1,0,0,0
"71",1,71,110.6,"$100Mto$500M",0,1,0,0,0,0,0,0
"72",1,72,12.82,"$10Mto$50M",0,0,1,0,0,0,0,0
"73",1,73,13.1,"$10Mto$50M",0,0,1,0,0,0,0,0
"74",1,74,78.3,"$50Mto$100M",0,0,0,0,1,0,0,0
"75",1,75,83.5,"$50Mto$100M",0,0,0,0,1,0,0,0
"76",1,76,1.5,"$1Mto$10M",0,0,0,0,0,1,0,0
"77",1,77,75,"$50Mto$100M",0,0,0,0,1,0,0,0
"78",1,78,40.5,"$10Mto$50M",0,0,1,0,0,0,0,0
"79",1,79,500,"$100Mto$500M",0,1,0,0,0,0,0,0
"80",1,80,233,"$100Mto$500M",0,1,0,0,0,0,0,0
"81",1,81,204.439706,"$100Mto$500M",0,1,0,0,0,0,0,0
"82",1,82,8,"$1Mto$10M",0,0,0,0,0,1,0,0
"83",1,83,15,"$10Mto$50M",0,0,1,0,0,0,0,0
"84",1,84,6,"$1Mto$10M",0,0,0,0,0,1,0,0
"85",1,85,111.464,"$100Mto$500M",0,1,0,0,0,0,0,0
"86",1,86,9.5,"$1Mto$10M",0,0,0,0,0,1,0,0
"87",1,87,43.61,"$10Mto$50M",0,0,1,0,0,0,0,0
"88",1,88,5.14,"$1Mto$10M",0,0,0,0,0,1,0,0
