"","id","tr","Trademarks","Trademarks_0to10","Trademarks_10to100","Trademarks_100+","Trademarks_NA"
"1",1,"24","10to100",0,1,0,0
"2",2,"8","0to10",1,0,0,0
"3",3,"7","0to10",1,0,0,0
"4",4,"66","10to100",0,1,0,0
"5",5,"37","10to100",0,1,0,0
"6",6,"0","0to10",1,0,0,0
"7",7,"15","10to100",0,1,0,0
"8",8,"259","100+",0,0,1,0
"9",9,"276","100+",0,0,1,0
"10",10,"2","0to10",1,0,0,0
"11",11,"182","100+",0,0,1,0
"12",12,"14","10to100",0,1,0,0
"13",13,"8","0to10",1,0,0,0
"14",14,"36","10to100",0,1,0,0
"15",15,"5","0to10",1,0,0,0
"16",16,"56","10to100",0,1,0,0
"17",17,"178","100+",0,0,1,0
"18",18,"13","10to100",0,1,0,0
"19",19,"44","10to100",0,1,0,0
"20",20,"11","10to100",0,1,0,0
"21",21,"13","10to100",0,1,0,0
"22",22,"23","10to100",0,1,0,0
"23",23,"NA","NA",0,0,0,1
"24",24,"NA","NA",0,0,0,1
"25",25,"9","0to10",1,0,0,0
"26",26,"4","0to10",1,0,0,0
"27",27,"32","10to100",0,1,0,0
"28",28,"145","100+",0,0,1,0
"29",29,"29","10to100",0,1,0,0
"30",30,"9","0to10",1,0,0,0
"31",31,"16","10to100",0,1,0,0
"32",32,"38","10to100",0,1,0,0
"33",33,"3","0to10",1,0,0,0
"34",34,"5","0to10",1,0,0,0
"35",35,"NA","NA",0,0,0,1
"36",36,"8","0to10",1,0,0,0
"37",37,"19","10to100",0,1,0,0
"38",38,"3","0to10",1,0,0,0
"39",39,"2","0to10",1,0,0,0
"40",40,"73","10to100",0,1,0,0
"41",41,"NA","NA",0,0,0,1
"42",42,"NA","NA",0,0,0,1
"43",43,"4","0to10",1,0,0,0
"44",44,"8","0to10",1,0,0,0
"45",45,"220","100+",0,0,1,0
"46",46,"1","0to10",1,0,0,0
"47",47,"17","10to100",0,1,0,0
"48",48,"1","0to10",1,0,0,0
"49",49,"9","0to10",1,0,0,0
"50",50,"25","10to100",0,1,0,0
"51",51,"3","0to10",1,0,0,0
"52",52,"1","0to10",1,0,0,0
"53",53,"9","0to10",1,0,0,0
"54",54,"NA","NA",0,0,0,1
"55",55,"19","10to100",0,1,0,0
"56",56,"9","0to10",1,0,0,0
"57",57,"3","0to10",1,0,0,0
"58",58,"NA","NA",0,0,0,1
"59",59,"1","0to10",1,0,0,0
"60",60,"68","10to100",0,1,0,0
"61",61,"1","0to10",1,0,0,0
"62",62,"1","0to10",1,0,0,0
"63",63,"491","100+",0,0,1,0
"64",64,"1","0to10",1,0,0,0
"65",65,"10","0to10",1,0,0,0
"66",66,"48","10to100",0,1,0,0
"67",67,"30","10to100",0,1,0,0
"68",68,"48","10to100",0,1,0,0
"69",69,"6","0to10",1,0,0,0
"70",70,"NA","NA",0,0,0,1
"71",71,"1","0to10",1,0,0,0
"72",72,"4","0to10",1,0,0,0
"73",73,"7","0to10",1,0,0,0
"74",74,"6","0to10",1,0,0,0
"75",75,"37","10to100",0,1,0,0
"76",76,"9","0to10",1,0,0,0
"77",77,"2","0to10",1,0,0,0
"78",78,"9","0to10",1,0,0,0
"79",79,"NA","NA",0,0,0,1
"80",80,"6","0to10",1,0,0,0
"81",81,"NA","NA",0,0,0,1
"82",82,"NA","NA",0,0,0,1
"83",83,"543","100+",0,0,1,0
"84",84,"NA","NA",0,0,0,1
"85",85,"1","0to10",1,0,0,0
"86",86,"13","10to100",0,1,0,0
"87",87,"4","0to10",1,0,0,0
"88",88,"3","0to10",1,0,0,0
"89",89,"32","10to100",0,1,0,0
"90",90,"4","0to10",1,0,0,0
"91",91,"6","0to10",1,0,0,0
"92",92,"NA","NA",0,0,0,1
"93",93,"2","0to10",1,0,0,0
"94",94,"1","0to10",1,0,0,0
"95",95,"2","0to10",1,0,0,0
"96",96,"7","0to10",1,0,0,0
"97",97,"5","0to10",1,0,0,0
"98",98,"23","10to100",0,1,0,0
"99",99,"3","0to10",1,0,0,0
"100",100,"16","10to100",0,1,0,0
"101",101,"5","0to10",1,0,0,0
"102",102,"10","0to10",1,0,0,0
"103",103,"3","0to10",1,0,0,0
"104",104,"15","10to100",0,1,0,0
"105",105,"104","100+",0,0,1,0
"106",106,"NA","NA",0,0,0,1
"107",107,"6","0to10",1,0,0,0
"108",108,"NA","NA",0,0,0,1
"109",109,"NA","NA",0,0,0,1
"110",110,"NA","NA",0,0,0,1
"111",111,"8","0to10",1,0,0,0
"112",112,"NA","NA",0,0,0,1
"113",113,"8","0to10",1,0,0,0
"114",114,"10","0to10",1,0,0,0
"115",115,"NA","NA",0,0,0,1
"116",116,"35","10to100",0,1,0,0
"117",117,"NA","NA",0,0,0,1
"118",118,"36","10to100",0,1,0,0
"119",119,"1","0to10",1,0,0,0
"120",120,"1","0to10",1,0,0,0
"121",121,"NA","NA",0,0,0,1
"122",122,"6","0to10",1,0,0,0
"123",123,"8","0to10",1,0,0,0
"124",124,"12","10to100",0,1,0,0
"125",125,"12","10to100",0,1,0,0
"126",126,"5","0to10",1,0,0,0
"127",127,"7","0to10",1,0,0,0
"128",128,"NA","NA",0,0,0,1
"129",129,"1","0to10",1,0,0,0
"130",130,"NA","NA",0,0,0,1
"131",131,"NA","NA",0,0,0,1
"132",132,"NA","NA",0,0,0,1
"133",133,"56","10to100",0,1,0,0
"134",134,"3","0to10",1,0,0,0
"135",135,"1","0to10",1,0,0,0
"136",136,"28","10to100",0,1,0,0
"137",137,"9","0to10",1,0,0,0
"138",138,"1","0to10",1,0,0,0
"139",139,"35","10to100",0,1,0,0
"140",140,"2","0to10",1,0,0,0
"141",141,"3","0to10",1,0,0,0
"142",142,"NA","NA",0,0,0,1
"143",143,"9","0to10",1,0,0,0
"144",144,"NA","NA",0,0,0,1
"145",145,"4","0to10",1,0,0,0
"146",146,"4","0to10",1,0,0,0
"147",147,"13","10to100",0,1,0,0
"148",148,"8","0to10",1,0,0,0
"149",149,"4","0to10",1,0,0,0
"150",150,"90","10to100",0,1,0,0
"151",151,"9","0to10",1,0,0,0
"152",152,"4","0to10",1,0,0,0
"153",153,"29","10to100",0,1,0,0
"154",154,"3","0to10",1,0,0,0
"155",155,"NA","NA",0,0,0,1
