"","Y","id","Organization.Name","Industries","Headquarters.Location","Description","CB.Rank..Company.","Estimated.Revenue.Range","Founded.Date","Founded.Date.Precision","Industry.Groups","Number.of.Founders","Number.of.Employees","Number.of.Funding.Rounds","Total.Funding.Amount","Number.of.Investors","IPO.Status","IPO.Date","Acquisition.Status","Number.of.Events","Number.of.Lead.Investors","Funding.Status","Last.Funding.Date","Last.Funding.Amount.Currency..in.USD.","Last.Funding.Type","IPqwery...Total.Patents","IPqwery...Total.Trademarks","Investment.Stage"
"1436",0,1436,"Filmhub","Cloud Infrastructure, E-Commerce, Film Distribution, Internet","Santa Monica, California, United States","Filmhub is a B2B marketplace for film creators and streaming services.",34687,"NA","1/1/2014","year","Commerce and Shopping, Hardware, Internet Services, Media and Entertainment, Video","3","1-10",1,450000,"3","Private","NA","NA","1","1","Seed","5/22/2017","450000","Seed","NA","NA","NA"
"1260",0,1260,"Kourts","Mobile Apps, SaaS, Software, Sports, Tennis","Los Angeles, California, United States","Kourts is a booking and management cloud-based software and mobile apps for tennis facilities, instructors, and players.",29917,"NA","1/1/2016","year","Apps, Mobile, Software, Sports","1","11-50",1,3757998,"NA","Private","NA","NA","NA","NA","NA","10/16/2017","3757998","Venture - Series Unknown","NA","NA","NA"
"1623",0,1623,"Foray Collective","E-Commerce, Fashion","Los Angeles, California, United States","An inventory-less online retailer with a built in marketing platform that enables tastemakers to create UGC and drive traffic to storefronts",39866,"Less than $1M","11/1/2015","month","Clothing and Apparel, Commerce and Shopping, Design","3","1-10",2,2075000,"3","Private","NA","NA","NA","1","Seed","12/30/2017","1075000","Pre-Seed","NA","NA","NA"
"534",0,534,"TOCA Football","Recreation, Soccer, Sports","Costa Mesa, California, United States","TOCA is a soccer technology company that aims to disrupt and elevate the soccer experience through user-centered technology.",11863,"$10M to $50M","1/1/2013","year","Sports","1","11-50",3,36460671,"2","Private","NA","NA","NA","1","Late Stage Venture","10/30/2019","25000000","Series D","6","27","NA"
"728",0,728,"Postie","Advertising, Marketing","Los Angeles, California, United States","Postie offers automated marketing tools for direct mail marketing.",16629,"NA","1/1/2017","year","Advertising, Sales and Marketing","2","11-50",2,9949999,"3","Private","NA","NA","NA","2","Seed","7/3/2018","6700000","Seed","NA","NA","NA"
"321",1,321,"Modern Animal","Animal Feed, Health Care, Medical, Veterinary","Los Angeles, California, United States","Modern Animal is an innovative veterinary platform building a new kind of veterinary experience for animals and humans.",7124,"NA","1/1/2019","year","Agriculture and Farming, Health Care","2","1-10",2,13500000,"7","Private","NA","NA","NA","1","Seed","10/25/2019","13500000","Seed","0","2","NA"
"273",1,273,"Earny","E-Commerce, FinTech, Internet","Santa Monica, California, United States","Earny is your personal assistant who automatically gets you money back on almost every item you buy.",6211,"Less than $1M","8/1/2015","month","Commerce and Shopping, Financial Services, Internet Services","3","11-50",2,11500000,"7","Private","NA","NA","NA","2","Early Stage Venture","12/5/2017","9000000","Series A","0","1","NA"
"1188",0,1188,"Markett","Blogging Platforms, Brand Marketing, Marketing","Venice, California, United States","The Future of Marketing",28202,"$1M to $10M","6/1/2016","day","Content and Publishing, Media and Entertainment, Sales and Marketing","2","1-10",2,1953255,"5","Private","NA","NA","NA","2","Seed","11/4/2016","1953255","Seed","NA","NA","NA"
"170",1,170,"Stance","Fashion, Lifestyle, Wearables","San Clemente, California, United States","Stance is a premium sock brand dedicated to the spirit of individuality. ",3970,"$10M to $50M","1/1/2009","year","Clothing and Apparel, Community and Lifestyle, Consumer Electronics, Design, Hardware","5","101-250",5,1.16e+08,"21","Private","NA","NA","NA","2","Late Stage Venture","4/28/2016","30000000","Series D","1","31","NA"
"1734",0,1734,"Kensu","Compliance, Computer, Software","Walnut, California, United States","Kensu has created a Data Activity Manager which is the first of its kind GCP (Governance, Compliance, Performance) Solution for Data Science",42715,"NA","10/1/2017","day","Consumer Electronics, Hardware, Professional Services, Software","2","1-10",2,7e+05,"1","Private","NA","NA","NA","NA","Seed","1/1/2018","NA","Seed","NA","NA","NA"
